nome;kcal;proteine;carboidrati;grassi
"Dentice, surgelato";103;17,2;0,7;3,5
Dolce verde;276;19,1;2,5;21,1
Edam;326;25,5;1,4;24,3
Emmenthal;403;28,5;3,6;30,6
"Fagiano, crudo";144;24,3;;5,2
Fagioli;326;23,6;47,5;2
"Fagioli dall'occhio, secchi";318;22,4;50,9;1,4
"Fagioli, Borlotti, freschi";143;10,2;22,7;0,8
"Fagioli, Borlotti, freschi, cotti, bolliti";78;5,7;11,2;0,5
"Fagioli, Borlotti, in scatola, scolati";102;6,7;15,9;0,5
"Fagioli, Borlotti, secchi";312;20,2;47,7;2
"Fagioli, Borlotti, secchi, cotti, bolliti";106;6,9;16,4;0,4
"Fagioli, Cannellini in scatola, scolati";86;6;12,5;0,6
"Fagioli, Cannellini, secchi";314;23,4;45,5;1,6
"Fagioli, Cannellini, secchi, cotti, bolliti";107;8;14,9;0,4
"Fagioli, cotti, bolliti";117;7,9;17;0,7
"Fagiolini a corallo, cotti, bolliti";31;1,7;4,6;0,1
"Fagiolini, freschi";24;2,1;2,4;0,1
"Fagiolini, surgelati, cotti, bolliti";31;1,7;4,6;0,1
Falafel;198;7,1;19,8;9,5
"Faraona, coscio, con pelle, crudo";133;24,3;0,3;3,8
"Faraona, coscio, senza pelle, cotto, allo spiedo";194;34,4;0,3;6,1
"Faraona, coscio, senza pelle, crudo";127;24;0,3;3,3
"Faraona, petto, senza pelle, cotto, allo spiedo";146;30,7;0,2;2,5
"Faraona, petto, senza pelle, crudo";121;25,8;0,2;1,9
Farina d'avena;378;12,6;66,3;7,1
Farina di castagne;318;6,1;62;3,7
"Farina di frumento, duro";330;12,9;63,2;2,8
"Farina di frumento, integrale";313;11,9;61,8;1,9
"Farina di frumento, tipo 0";321;11,5;69,5;1
"Farina di frumento, tipo 00";323;11;71,6;0,7
Farina di mais;341;8,7;73,5;2,7
Farina di manioca;332;0,6;87,2;0,2
Farina di riso;332;7,3;79,1;0,5
Farina di segale;342;11,7;67,8;2
Farina di soia;469;36,8;23,4;23,5
